clients_month_attendance
client_id;client_name;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
C00070;Sofia Larsen;1;1;0;1;1;0;1;1;1;0;1;1
C00071;Ingrid Berg;1;1;1;1;0;1;1;1;1;1;0;1
C00072;Lars Berg;1;0;0;0;0;0;0;0;0;0;0;0
C00073;Dean Hansen;1;0;0;0;0;0;0;0;0;0;0;0
C00074;Lars Moen;1;0;1;1;1;1;1;1;0;1;0;1
C00075;Anna Moen;1;0;0;1;0;0;0;0;1;0;0;1
C00076;Nikos Berg;1;0;0;0;0;0;0;0;0;0;0;0
C00077;Sofia Haugen;1;0;1;1;0;1;0;1;1;0;1;0
C00078;Lars Andersen;1;0;0;0;0;0;0;0;0;0;1;0
C00079;Dean Olsen;1;2;1;2;2;2;3;0;0;1;2;3
C00080;Ingrid Haugen;1;0;1;0;1;1;0;0;1;1;1;1
C00081;Sofia Haugen;1;0;0;0;0;0;0;0;0;0;0;0
C00082;Lars Larsen;1;1;0;0;0;0;0;0;0;0;0;0
C00083;Dean Hansen;1;0;1;0;0;0;1;1;0;1;0;1
C00084;Ingrid Larsen;1;0;0;0;0;0;0;0;0;1;0;0
C00085;Jonas Johansen;1;0;1;1;1;0;0;1;1;1;0;1
C00086;Nikos Hansen;1;0;1;1;1;1;0;1;1;0;1;1
C00087;Elena Hansen;1;0;1;0;1;0;2;0;0;1;0;0
C00088;Erik Hansen;1;0;1;0;1;0;0;0;0;0;0;2
C00089;Dean Johansen;1;0;0;0;0;0;0;0;0;0;0;0
C00090;Igor Nilsen;1;0;1;0;1;0;1;1;1;0;1;1
C00091;Jonas Andersen;1;0;1;1;1;1;1;0;1;0;0;0
C00092;Dean Hansen;1;0;1;0;1;0;1;1;1;0;1;0
C00093;Nikos Johansen;1;0;0;0;1;0;0;1;0;0;0;1
C00094;Elena Solberg;1;0;0;1;1;0;0;1;0;1;0;1
C00095;Sofia Berg;1;0;0;0;0;0;0;0;0;0;0;0
C00096;Anna Berg;1;0;0;0;0;0;0;1;0;0;0;0
C00097;Erik Hansen;1;0;1;0;1;0;1;0;1;0;0;1
C00098;Sofia Haugen;1;0;1;1;1;1;1;0;1;0;0;0
C00099;Elena Larsen;1;0;0;0;0;1;0;1;0;0;0;0
C00100;Igor Nilsen;1;0;0;1;0;0;0;0;0;0;0;0
C00101;Sofia Hansen;1;0;0;0;0;0;0;0;0;0;0;0
C00102;Lars Nilsen;1;1;1;1;0;1;0;0;0;1;0;0
C00103;Nikos Larsen;0;1;0;0;0;0;0;0;0;0;0;0
C00104;Anna Olsen;0;2;0;0;1;1;0;1;0;0;0;0
C00105;Ingrid Olsen;0;1;1;2;0;0;1;1;0;1;0;1
C00106;Nikos Larsen;0;1;0;1;0;0;1;0;1;0;0;1
C00107;Jonas Larsen;0;1;0;0;0;0;0;0;0;0;0;0
C00108;Lars Hansen;0;1;0;0;0;0;0;0;0;0;1;0
C00109;Erik Berg;0;1;0;0;0;0;0;0;0;0;0;0
C00110;Igor Haugen;0;1;0;0;0;1;0;0;0;0;0;1
C00111;Dean Moen;0;1;0;0;0;0;1;1;1;0;1;1
C00112;Lars Johansen;0;1;0;0;0;0;0;0;0;0;0;0
C00113;Jonas Solberg;0;2;1;2;1;0;1;1;1;0;0;0
C00114;Nikos Berg;0;1;0;0;0;0;0;0;0;0;0;0
C00115;Ingrid Moen;0;1;0;0;0;0;0;0;0;1;0;0
C00116;Anna Hansen;0;1;0;0;0;0;0;0;0;0;0;0
C00117;Igor Hansen;0;1;0;0;1;0;1;0;0;1;0;1
C00118;Elena Andersen;0;1;0;0;0;0;0;0;0;0;0;0
C00119;Jonas Moen;0;1;1;0;0;0;0;0;0;1;1;1
C00120;Lars Olsen;0;1;0;0;0;1;0;1;0;0;0;0
C00121;Nikos Olsen;0;1;0;0;0;0;0;0;0;0;0;0
C00122;Anna Haugen;0;1;0;1;0;0;0;0;0;0;0;0
C00123;Sofia Haugen;0;1;1;0;1;0;1;0;1;0;0;1
C00124;Dean Haugen;0;1;0;0;1;0;0;0;0;0;0;1
C00125;Anna Hansen;0;1;0;1;0;1;0;0;0;0;0;0
C00126;Erik Larsen;0;1;0;1;0;1;1;1;0;1;1;0
C00127;Sofia Haugen;0;1;0;1;0;1;0;1;0;1;0;1
C00128;Anna Olsen;0;1;0;1;0;1;0;1;0;0;1;0
C00129;Lars Olsen;0;1;0;0;1;0;1;0;0;1;0;1
C00130;Lars Johansen;0;0;0;0;0;0;0;0;0;0;0;0
C00131;Igor Johansen;0;1;0;0;0;0;0;0;0;0;0;0
C00132;Sofia Olsen;0;1;0;0;1;0;0;0;0;1;0;0
C00133;Lars Larsen;0;1;0;0;0;0;0;0;0;0;0;0
C00134;Dean Larsen;0;1;0;1;0;0;0;0;0;0;0;0
C00135;Dean Andersen;0;1;0;0;0;0;0;0;0;0;0;0
C00136;Anna Haugen;0;1;0;1;0;1;1;0;1;1;1;1
C00137;Erik Berg;0;1;1;0;1;0;0;1;0;0;0;0
C00138;Nikos Hansen;0;1;0;0;1;0;0;1;0;0;1;0
C00139;Dean Olsen;0;1;0;1;1;0;1;0;0;0;0;0
C00140;Sofia Berg;0;1;0;1;0;0;1;1;1;0;1;1
C00141;Sofia Nilsen;0;1;1;0;1;1;0;1;0;1;0;1
C00142;Sofia Olsen;0;1;1;0;1;1;0;0;0;0;0;0
C00143;Sofia Haugen;0;1;0;1;0;0;0;1;0;0;0;1
C00144;Igor Andersen;0;1;0;0;1;0;1;0;0;0;0;1
C00145;Dean Hansen;0;1;0;0;1;0;1;0;1;0;1;0
C00146;Elena Olsen;0;1;0;0;1;0;0;1;0;0;1;0
C00147;Anna Olsen;0;1;0;1;0;0;1;0;1;0;0;0
C00148;Dean Hansen;0;1;0;1;1;0;1;0;1;1;1;1
C00149;Elena Nilsen;0;1;0;1;0;1;0;0;1;0;1;0
C00150;Nikos Moen;0;1;1;0;0;1;1;1;0;0;0;0
C00151;Elena Haugen;0;1;0;0;0;0;0;0;0;0;0;0
C00152;Dean Andersen;0;1;0;1;0;1;0;1;0;1;1;0
C00153;Nikos Hansen;0;1;0;1;1;1;0;1;0;1;1;1
C00154;Anna Andersen;0;1;0;0;1;0;1;0;0;1;0;1
C00155;Jonas Hansen;0;1;0;0;1;0;1;0;0;1;0;1
C00156;Nikos Johansen;0;1;0;1;0;0;1;0;1;0;0;1
C00157;Lars Solberg;0;1;1;0;0;0;0;0;0;0;0;0
C00158;Sofia Solberg;0;1;0;0;0;1;1;0;0;0;1;1
C00159;Nikos Haugen;0;1;0;0;0;0;0;0;0;0;0;0
C00160;Erik Johansen;0;1;0;1;1;0;0;1;0;0;0;0
C00161;Sofia Berg;0;1;0;0;1;0;1;0;0;1;0;1
C00162;Igor Solberg;0;1;0;0;1;0;0;0;0;0;1;0
C00163;Igor Solberg;0;1;0;0;1;0;1;1;0;1;0;1
C00164;Dean Haugen;0;0;1;0;1;0;0;1;0;0;1;0
C00165;Dean Moen;0;0;1;0;1;0;1;0;0;0;0;0
C00166;Sofia Berg;0;0;1;1;0;1;1;1;0;0;0;1
C00167;Ingrid Berg;0;0;2;2;2;3;2;3;2;3;2;2
C00168;Ingrid Olsen;0;0;1;0;1;0;0;0;0;1;0;0
C00169;Igor Moen;0;0;1;0;0;1;0;0;0;1;0;1
C00170;Erik Solberg;0;0;2;0;0;0;0;0;2;3;4;2
C00171;Jonas Moen;0;0;1;0;1;0;1;0;0;0;0;0
C00172;Anna Larsen;0;0;1;0;0;1;0;1;1;0;0;0
C00173;Dean Haugen;0;0;1;0;0;1;0;0;0;0;1;0
C00174;Nikos Berg;0;0;1;0;0;0;0;0;0;0;0;0
C00175;Igor Johansen;0;0;1;0;0;0;1;0;0;0;0;0
C00176;Jonas Nilsen;0;0;1;0;1;0;0;0;0;0;0;1
C00177;Nikos Moen;0;0;0;0;0;0;0;0;0;0;0;0
C00178;Ingrid Nilsen;0;0;1;0;0;1;0;0;0;0;0;1
C00179;Ingrid Solberg;0;0;1;0;1;0;1;0;0;1;0;1
C00180;Sofia Hansen;0;0;1;0;0;1;0;1;1;0;1;1
C00181;Anna Solberg;0;0;1;0;0;1;0;1;0;0;1;1
C00182;Sofia Nilsen;0;0;1;0;1;0;1;0;1;0;1;0
C00183;Elena Hansen;0;0;1;0;1;0;0;1;0;0;1;1
C00184;Erik Andersen;0;0;1;0;0;0;0;1;0;0;0;0
C00185;Elena Berg;0;0;0;1;0;1;1;0;1;0;0;1
C00186;Anna Nilsen;0;0;0;1;0;0;1;0;1;0;1;0
C00187;Anna Olsen;0;0;0;1;0;0;1;1;0;1;0;0
C00188;Jonas Haugen;0;0;0;1;0;1;0;1;1;0;0;0
C00189;Anna Johansen;0;0;0;1;1;0;0;0;0;0;0;0
C00190;Ingrid Olsen;0;0;0;1;0;0;1;1;0;0;1;0
C00191;Dean Haugen;0;0;0;1;0;0;1;0;1;0;1;0
C00192;Nikos Solberg;0;0;0;1;0;0;0;1;0;0;0;0
C00193;Jonas Solberg;0;0;0;1;0;0;1;0;0;0;0;0
C00194;Elena Solberg;0;0;0;0;0;0;0;0;0;0;0;0
C00195;Elena Berg;0;0;0;1;0;1;0;0;0;0;0;1
C00196;Lars Andersen;0;0;0;0;1;0;0;1;0;0;0;0
C00197;Dean Solberg;0;0;0;0;1;0;1;0;1;0;0;0
C00198;Ingrid Hansen;0;0;0;0;1;0;0;0;1;0;0;0
C00199;Igor Nilsen;0;0;0;0;0;1;2;1;2;2;2;2
C00200;Lars Haugen;0;0;0;0;0;1;1;2;1;1;1;2
